a-profile href,a-profile-avatar,a-profile-name,a-link-normal href,a-icon-alt,a-size-base,a-size-base 2,a-size-mini,a-size-mini href,a-link-normal href 2,a-size-base 3,a-size-base 4,a-button-text href,review-comment-total,a-size-base 5,a-size-base 6,a-size-base href 2,a-size-base 7,a-link-normal href 3,a-declarative,a-lazy-loaded src
https://www.amazon.in/gp/profile/amzn1.account.AGBXTLGCPSVF2ZOGHLKYN5PXTDTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"<img src=""https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/2b1eeb7e-a2ff-4e4b-82e1-2c8b05c7ad4e._CR0,0,500,500_SX48_.jpg"">",Addhaya Anil,https://www.amazon.in/gp/customer-reviews/R1Y7FB1UHNJRAR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=1847370292,5.0 out of 5 stars,it's just amazing. This book transformed me and my life,21 June 2017,Format: Hardcover,https://www.amazon.in/Secret-Rhonda-Byrne/product-reviews/1847370292/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&reviewerType=all_reviews&formatType=current_format,https://www.amazon.in/Secret-Rhonda-Byrne/product-reviews/1847370292/ref=cm_cr_arp_d_rvw_rvwer?ie=UTF8&reviewerType=avp_only_reviews,"I watched the documentary of "" The secret "" on youtube and thought of buying it asap. I read the book too and trust me, it's just amazing.This book transformed me and my life. It's a life changing book, I must say. The cover is so good and so the title.",64 people found this helpful,https://www.amazon.in/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.in%2FSecret-Rhonda-Byrne%2Fproduct-reviews%2F1847370292%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26voteInstanceId%3DR1Y7FB1UHNJRAR%26voteValue%3D1%26reviewerType%3Dall_reviews%26csrfT%3Dgm9szUWfwX7fexIO6onL8K4C82hFTg5Qst9xM1IAAAABAAAAAFxK3spyYXcAAAAA%252B4kUEk%252F7iMGR3xPcX6iU&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=inflex&openid.mode=checkid_setup&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0,1,1 Comment,Report abuse,https://www.amazon.in/hz/reviews-render/report-abuse?ie=UTF8&voteDomain=Reviews&ref=cm_cr_arp_d_rvw_hlp&csrfT=gm9szUWfwX7fexIO6onL8K4C82hFTg5Qst9xM1IAAAABAAAAAFxK3spyYXcAAAAA%2B4kUEk%2F7iMGR3xPcX6iU&entityId=R1Y7FB1UHNJRAR&sessionId=262-8731855-4609111,Showing  comments,https://www.amazon.in/Secret-Rhonda-Byrne/product-reviews/1847370292/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews#,,
https://www.amazon.in/gp/profile/amzn1.account.AHO7764VDFPJ34SFXXAXHRIT7RNA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"<img src=""https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars/c5497d27-2a0b-4bd7-8494-7812fcea53e8._CR0,26.0,281,281_SX48_.jpg"">",V,https://www.amazon.in/gp/customer-reviews/R3IOC8MIQPLE7M/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=1847370292,5.0 out of 5 stars,Love love love this book,1 March 2018,Format: Hardcover,https://www.amazon.in/Secret-Rhonda-Byrne/product-reviews/1847370292/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&reviewerType=all_reviews&formatType=current_format,https://www.amazon.in/Secret-Rhonda-Byrne/product-reviews/1847370292/ref=cm_cr_arp_d_rvw_rvwer?ie=UTF8&reviewerType=avp_only_reviews,Love love love this book. For the ones who want to bring a shift in their lives. A must read. Change your life by changing your thoughts. It is as simple and as complicated as that. And do not forget to mix emotions with your thoughts to bring the desired results:),13 people found this helpful,https://www.amazon.in/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.in%2FSecret-Rhonda-Byrne%2Fproduct-reviews%2F1847370292%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26voteInstanceId%3DR3IOC8MIQPLE7M%26voteValue%3D1%26reviewerType%3Dall_reviews%26csrfT%3DgimEVnFkpyGNJN79PIuvdzgjGcN6%252BUpOCuT2pOwAAAABAAAAAFxK3spyYXcAAAAA%252B4kUEk%252F7iMGR3xPcX6iU&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=inflex&openid.mode=checkid_setup&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0,0,Report abuse,Showing  comments,https://www.amazon.in/hz/reviews-render/report-abuse?ie=UTF8&voteDomain=Reviews&ref=cm_cr_arp_d_rvw_hlp&csrfT=gimEVnFkpyGNJN79PIuvdzgjGcN6%2BUpOCuT2pOwAAAABAAAAAFxK3spyYXcAAAAA%2B4kUEk%2F7iMGR3xPcX6iU&entityId=R3IOC8MIQPLE7M&sessionId=262-8731855-4609111,Sort by:,https://www.amazon.in/Secret-Rhonda-Byrne/product-reviews/1847370292/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews#,Comment,
https://www.amazon.in/gp/profile/amzn1.account.AFWJM4I4ZZ6G36IYVJFRWRUFX6FA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"<img src=""https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/d650cb29-3575-4cb8-a0a7-216bdb7c8e83._CR62,0,375,375_SX48_.jpg"">",SAINATH REDDY,https://www.amazon.in/gp/customer-reviews/R17E006HZ6O4WG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=1847370292,5.0 out of 5 stars,WE ARE WHAT WE THINK,23 August 2018,Format: Paperback,https://www.amazon.in/Secret-Rhonda-Byrne/product-reviews/1471172392/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&reviewerType=all_reviews&formatType=current_format,https://www.amazon.in/Secret-Rhonda-Byrne/product-reviews/1847370292/ref=cm_cr_arp_d_rvw_rvwer?ie=UTF8&reviewerType=avp_only_reviews,"The book is of excellent quality, I wish all other books of paperback should be like this with affordable price.About the content in the book-All that we are is the result of what have thought. We are made of our thoughts; we are moulded by our thoughts. The above was a meaning of shloka from bhagavadgita. Buddha,swami Vivekananda are also some of great humans whose teachings tells us that the essence of human was his thoughts. THIS BOOK IS A GOOD ONE which tells us about law of attraction that repeated thoughts about what we want will create a force of attraction which attracts our goal towards us.Because our thoughts become our words, words become actions, actions become habits, habits led you to your destiny.",10 people found this helpful,https://www.amazon.in/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.in%2FSecret-Rhonda-Byrne%2Fproduct-reviews%2F1847370292%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26voteInstanceId%3DR17E006HZ6O4WG%26voteValue%3D1%26reviewerType%3Dall_reviews%26csrfT%3DghibTjzccViJWEC4Ahg%252FfgGaPpMM%252BCyAIrIbjGoAAAABAAAAAFxK3spyYXcAAAAA%252B4kUEk%252F7iMGR3xPcX6iU&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=inflex&openid.mode=checkid_setup&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0,0,Report abuse,Showing  comments,https://www.amazon.in/hz/reviews-render/report-abuse?ie=UTF8&voteDomain=Reviews&ref=cm_cr_arp_d_rvw_hlp&csrfT=ghibTjzccViJWEC4Ahg%2FfgGaPpMM%2BCyAIrIbjGoAAAABAAAAAFxK3spyYXcAAAAA%2B4kUEk%2F7iMGR3xPcX6iU&entityId=R17E006HZ6O4WG&sessionId=262-8731855-4609111,Sort by:,https://www.amazon.in/Secret-Rhonda-Byrne/product-reviews/1847370292/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews#,Comment,
https://www.amazon.in/gp/profile/amzn1.account.AH5LFCWP4XZFGJAOCYM7OQUEY6DA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"<img src=""https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars/36517aae-7769-4241-a213-5861b4622b57._CR109,0,281,281_SX48_.jpg"">",Rashi S.,https://www.amazon.in/gp/customer-reviews/R2VC3FX90AG3BN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=1847370292,3.0 out of 5 stars,The lady has written a great book undoubtedly,22 October 2017,Format: Hardcover,https://www.amazon.in/Secret-Rhonda-Byrne/product-reviews/1847370292/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&reviewerType=all_reviews&formatType=current_format,https://www.amazon.in/Secret-Rhonda-Byrne/product-reviews/1847370292/ref=cm_cr_arp_d_rvw_rvwer?ie=UTF8&reviewerType=avp_only_reviews,The lady has written a great book undoubtedly. I will just make a comment on the print and quality of paper of the book.It wasn't really up to the mark.Few initial pages had double printing so I had problems reading the text.But the price is very reasonable so one might overlook such inconveniences.,8 people found this helpful,https://www.amazon.in/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.in%2FSecret-Rhonda-Byrne%2Fproduct-reviews%2F1847370292%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26voteInstanceId%3DR2VC3FX90AG3BN%26voteValue%3D1%26reviewerType%3Dall_reviews%26csrfT%3Dgo5nkcO8hdoFEYiZYLHviTV39c6ALBTHctPCuQwAAAABAAAAAFxK3spyYXcAAAAA%252B4kUEk%252F7iMGR3xPcX6iU&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=inflex&openid.mode=checkid_setup&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0,0,Report abuse,Showing  comments,https://www.amazon.in/hz/reviews-render/report-abuse?ie=UTF8&voteDomain=Reviews&ref=cm_cr_arp_d_rvw_hlp&csrfT=go5nkcO8hdoFEYiZYLHviTV39c6ALBTHctPCuQwAAAABAAAAAFxK3spyYXcAAAAA%2B4kUEk%2F7iMGR3xPcX6iU&entityId=R2VC3FX90AG3BN&sessionId=262-8731855-4609111,Sort by:,https://www.amazon.in/Secret-Rhonda-Byrne/product-reviews/1847370292/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews#,Comment,
https://www.amazon.in/gp/profile/amzn1.account.AGHP2RUFMXPBE45LWWMCQXNLQ5NQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"<img src=""https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png"">",My review,https://www.amazon.in/gp/customer-reviews/R1HHNAYII6RK1B/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=1847370292,4.0 out of 5 stars,Good condition overall,9 August 2018,Format: Paperback,https://www.amazon.in/Secret-Rhonda-Byrne/product-reviews/1471172392/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&reviewerType=all_reviews&formatType=current_format,https://www.amazon.in/Secret-Rhonda-Byrne/product-reviews/1847370292/ref=cm_cr_arp_d_rvw_rvwer?ie=UTF8&reviewerType=avp_only_reviews,"I have received the book and it seems original although I have received the 10th anniversary edition book, I don't know if its any different than the original. So coming to the book's condition. It is a new book in fairly good condition. It is a paperback book which has foldable cover , the main cover of the book is foldable inside and looks classy .",7 people found this helpful,https://www.amazon.in/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.in%2FSecret-Rhonda-Byrne%2Fproduct-reviews%2F1847370292%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26voteInstanceId%3DR1HHNAYII6RK1B%26voteValue%3D1%26reviewerType%3Dall_reviews%26csrfT%3Dgp1S2SYNLHa2QhswiN9AbN62khbA6jN1GbLxnrUAAAABAAAAAFxK3spyYXcAAAAA%252B4kUEk%252F7iMGR3xPcX6iU&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=inflex&openid.mode=checkid_setup&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0,0,Report abuse,Showing  comments,https://www.amazon.in/hz/reviews-render/report-abuse?ie=UTF8&voteDomain=Reviews&ref=cm_cr_arp_d_rvw_hlp&csrfT=gp1S2SYNLHa2QhswiN9AbN62khbA6jN1GbLxnrUAAAABAAAAAFxK3spyYXcAAAAA%2B4kUEk%2F7iMGR3xPcX6iU&entityId=R1HHNAYII6RK1B&sessionId=262-8731855-4609111,Sort by:,https://www.amazon.in/Secret-Rhonda-Byrne/product-reviews/1847370292/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews#,Comment,
https://www.amazon.in/gp/profile/amzn1.account.AH57PTOVVLFMG4CY7LUYMETWI4CQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"<img src=""https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png"">",jyothi elizabeth john,https://www.amazon.in/gp/customer-reviews/R2L1QYKOVT9TYF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=1847370292,1.0 out of 5 stars,Absolute nonsense,25 November 2018,Format: Kindle Edition,https://www.amazon.in/Secret-Rhonda-Byrne-ebook/product-reviews/B002M5E2DW/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&reviewerType=all_reviews&formatType=current_format,https://www.amazon.in/Secret-Rhonda-Byrne/product-reviews/1847370292/ref=cm_cr_arp_d_rvw_rvwer?ie=UTF8&reviewerType=avp_only_reviews,"i can't believe someone can stretch a point in so many pages.i literally fell fast asleep everytime i tried reading this book.in one place the author says the universe  will provide everything.and to substantiate her point she picks a verse from the  holy bible. which say ask n you  shall receive,seek n you shall find,knock and the door shall be open unto you.here in the bible Jesus is saying to ask God.but the author carefully change it into ask the universe .the author hor knows the bible is correct.but if she said  that ;who would buy her  lame book.i would rather pray to Jesus Christ the creator  of the universe and read the holy bible.because only God can change my life.if someone feels otherwise they are fools.verse from the bible ; book of proverbs chapter 21:31""you can only prepare horses ready for battle,it is the Lord who gives victory""P.S.whoever thinks that by simply sitting and day dreaming you could succeed is blinded.rather work hard and ask God to bless your plans so that you succeed in whateveer yo do.",5 people found this helpful,https://www.amazon.in/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.in%2FSecret-Rhonda-Byrne%2Fproduct-reviews%2F1847370292%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26voteInstanceId%3DR2L1QYKOVT9TYF%26voteValue%3D1%26reviewerType%3Dall_reviews%26csrfT%3Dgm9tWBu%252BmHIFtUKjm8GwHIh6vmtoWUEnv5Cgo1oAAAABAAAAAFxK3spyYXcAAAAA%252B4kUEk%252F7iMGR3xPcX6iU&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=inflex&openid.mode=checkid_setup&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0,0,Report abuse,Showing  comments,https://www.amazon.in/hz/reviews-render/report-abuse?ie=UTF8&voteDomain=Reviews&ref=cm_cr_arp_d_rvw_hlp&csrfT=gm9tWBu%2BmHIFtUKjm8GwHIh6vmtoWUEnv5Cgo1oAAAABAAAAAFxK3spyYXcAAAAA%2B4kUEk%2F7iMGR3xPcX6iU&entityId=R2L1QYKOVT9TYF&sessionId=262-8731855-4609111,Sort by:,https://www.amazon.in/Secret-Rhonda-Byrne/product-reviews/1847370292/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews#,Comment,
https://www.amazon.in/gp/profile/amzn1.account.AH3TGI3V337AME7HTEYPPUQVK7DA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"<img src=""https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png"">",BSP,https://www.amazon.in/gp/customer-reviews/RDZH3RCTZOR56/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=1847370292,5.0 out of 5 stars,"Helps a lot, when you are lost.",19 August 2018,Format: Paperback,https://www.amazon.in/Secret-Rhonda-Byrne/product-reviews/1471172392/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&reviewerType=all_reviews&formatType=current_format,https://www.amazon.in/Secret-Rhonda-Byrne/product-reviews/1847370292/ref=cm_cr_arp_d_rvw_rvwer?ie=UTF8&reviewerType=avp_only_reviews,"Sometimes, some things bother you much more than what they should. You may feel sad, disappointed, lost , moving into depression. Thats when you need to get fired up (motivated). That is what this book SECRET does. Fantastic one.Excellent contribution to mankind by author Rhonda Byrne and co-authors John Assaraf, Michael Bernard Beckwith, Lee Brower,  Jack Canfield, Dr John Demartini, Marie Diamond, Mike Dooley, Bob Doyle, Hale Dwoskin, Dr Ben Johnson and many more. All these people have put in writing their experiences and studies.Great book to read in difficult times. You may also gift it to the needy.",4 people found this helpful,https://www.amazon.in/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.in%2FSecret-Rhonda-Byrne%2Fproduct-reviews%2F1847370292%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26voteInstanceId%3DRDZH3RCTZOR56%26voteValue%3D1%26reviewerType%3Dall_reviews%26csrfT%3DgtYrblhQKw2Ap0AGgi%252FNSpBc7j44DnNoAQajUNAAAAABAAAAAFxK3spyYXcAAAAA%252B4kUEk%252F7iMGR3xPcX6iU&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=inflex&openid.mode=checkid_setup&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0,0,Report abuse,Showing  comments,https://www.amazon.in/hz/reviews-render/report-abuse?ie=UTF8&voteDomain=Reviews&ref=cm_cr_arp_d_rvw_hlp&csrfT=gtYrblhQKw2Ap0AGgi%2FNSpBc7j44DnNoAQajUNAAAAABAAAAAFxK3spyYXcAAAAA%2B4kUEk%2F7iMGR3xPcX6iU&entityId=RDZH3RCTZOR56&sessionId=262-8731855-4609111,Sort by:,https://www.amazon.in/Secret-Rhonda-Byrne/product-reviews/1847370292/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews#,Comment,
https://www.amazon.in/gp/profile/amzn1.account.AHP7J62FD6HLIZH5UMX3CEC36L2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"<img src=""https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars/default._CR0,0,1024,1024_SX48_.png"">",Amazon Customer,https://www.amazon.in/gp/customer-reviews/R3GJ7GZX8YQ9QP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=1847370292,5.0 out of 5 stars,Good book for troubled minds,26 February 2018,Format: Hardcover,https://www.amazon.in/Secret-Rhonda-Byrne/product-reviews/1847370292/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&reviewerType=all_reviews&formatType=current_format,https://www.amazon.in/Secret-Rhonda-Byrne/product-reviews/1847370292/ref=cm_cr_arp_d_rvw_rvwer?ie=UTF8&reviewerType=avp_only_reviews,Good book for troubled minds. Changed my mindset. Please read this book if you think life is difficult. I have got my answers through this book. I wish everyone reads this book.,7 people found this helpful,https://www.amazon.in/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.in%2FSecret-Rhonda-Byrne%2Fproduct-reviews%2F1847370292%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26voteInstanceId%3DR3GJ7GZX8YQ9QP%26voteValue%3D1%26reviewerType%3Dall_reviews%26csrfT%3Dgity9Iw%252FjHYCY%252FcySuf41LRQ5N4UT2tvGQXwxvEAAAABAAAAAFxK3spyYXcAAAAA%252B4kUEk%252F7iMGR3xPcX6iU&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=inflex&openid.mode=checkid_setup&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0,0,Report abuse,Showing  comments,https://www.amazon.in/hz/reviews-render/report-abuse?ie=UTF8&voteDomain=Reviews&ref=cm_cr_arp_d_rvw_hlp&csrfT=gity9Iw%2FjHYCY%2FcySuf41LRQ5N4UT2tvGQXwxvEAAAABAAAAAFxK3spyYXcAAAAA%2B4kUEk%2F7iMGR3xPcX6iU&entityId=R3GJ7GZX8YQ9QP&sessionId=262-8731855-4609111,Sort by:,https://www.amazon.in/Secret-Rhonda-Byrne/product-reviews/1847370292/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews#,Comment,
https://www.amazon.in/gp/profile/amzn1.account.AGOEK5777RDFBZ54ITNDAOTDMF7A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"<img src=""https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png"">","Amudala Satyanarayana, Journo, TIRUPATI",https://www.amazon.in/gp/customer-reviews/R2FD9BL8YKESGI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=1847370292,5.0 out of 5 stars,Very Good,31 December 2017,Format: Kindle Edition,https://www.amazon.in/Secret-Rhonda-Byrne-ebook/product-reviews/B002M5E2DW/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&reviewerType=all_reviews&formatType=current_format,https://www.amazon.in/Secret-Rhonda-Byrne/product-reviews/1847370292/ref=cm_cr_arp_d_rvw_rvwer?ie=UTF8&reviewerType=avp_only_reviews,"“The Secret” by Rhonda Byrne of Australia, is one of most attractive Books on the Law of Attraction. The book provides you insight to look into forces of law of attraction in picturesque English. A very Good motivational book.",6 people found this helpful,https://www.amazon.in/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.in%2FSecret-Rhonda-Byrne%2Fproduct-reviews%2F1847370292%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26voteInstanceId%3DR2FD9BL8YKESGI%26voteValue%3D1%26reviewerType%3Dall_reviews%26csrfT%3DgtrfbdJ4X%252BqYB9%252Fdcr6WviFUIZyBtqb3Jw%252F6KcUAAAABAAAAAFxK3spyYXcAAAAA%252B4kUEk%252F7iMGR3xPcX6iU&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=inflex&openid.mode=checkid_setup&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0,0,Report abuse,Showing  comments,https://www.amazon.in/hz/reviews-render/report-abuse?ie=UTF8&voteDomain=Reviews&ref=cm_cr_arp_d_rvw_hlp&csrfT=gtrfbdJ4X%2BqYB9%2Fdcr6WviFUIZyBtqb3Jw%2F6KcUAAAABAAAAAFxK3spyYXcAAAAA%2B4kUEk%2F7iMGR3xPcX6iU&entityId=R2FD9BL8YKESGI&sessionId=262-8731855-4609111,Sort by:,https://www.amazon.in/Secret-Rhonda-Byrne/product-reviews/1847370292/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews#,Comment,
https://www.amazon.in/gp/profile/amzn1.account.AFHE4JXXHKGAY54PMAH3F66SIECA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"<img src=""https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars/default._CR0,0,1024,1024_SX48_.png"">",Jyotsna Sandeep,https://www.amazon.in/gp/customer-reviews/R1A6KFS881SS24/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=1847370292,2.0 out of 5 stars,I was once a satisfied customer but not anymore,7 March 2018,Format: Hardcover,https://www.amazon.in/Secret-Rhonda-Byrne/product-reviews/1847370292/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&reviewerType=all_reviews&formatType=current_format,https://www.amazon.in/Secret-Rhonda-Byrne/product-reviews/1847370292/ref=cm_cr_arp_d_rvw_rvwer?ie=UTF8&reviewerType=avp_only_reviews,"Bought this book for gifting, but returning it as it is a defective piece. Amazon, please wake up. Your products are deteriorating day by day. I was once a satisfied customer but not anymore. This is the third item that I found defective.",7 people found this helpful,https://www.amazon.in/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.in%2FSecret-Rhonda-Byrne%2Fproduct-reviews%2F1847370292%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26voteInstanceId%3DR1A6KFS881SS24%26voteValue%3D1%26reviewerType%3Dall_reviews%26csrfT%3DgjEp8MktGBHCaddVoBRWkoaYBrRPXjcrfrkh%252BPIAAAABAAAAAFxK3spyYXcAAAAA%252B4kUEk%252F7iMGR3xPcX6iU&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=inflex&openid.mode=checkid_setup&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0,0,Report abuse,Showing  comments,https://www.amazon.in/hz/reviews-render/report-abuse?ie=UTF8&voteDomain=Reviews&ref=cm_cr_arp_d_rvw_hlp&csrfT=gjEp8MktGBHCaddVoBRWkoaYBrRPXjcrfrkh%2BPIAAAABAAAAAFxK3spyYXcAAAAA%2B4kUEk%2F7iMGR3xPcX6iU&entityId=R1A6KFS881SS24&sessionId=262-8731855-4609111,Sort by:,https://www.amazon.in/Secret-Rhonda-Byrne/product-reviews/1847370292/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews#,Comment,
